dam_name,county,state,condition_assessment_standardized,hazard_standardized,last_inspection_date,year_dam_completed,latitude,longitude,state2
Red Lick Creek Frs 12,Madison_KY,KY,poor,high,2017-01-19,1975,37.580020000000005,-84.21091,Kentucky
Red Lick Creek Mps 1,Madison_KY,KY,poor,high,2017-11-28,1974,37.546079999999996,-84.18325,Kentucky
Renfro Dam,Rockcastle_KY,KY,poor,high,2017-01-18,1968,37.384392999999996,-84.335188,Kentucky
Rice Lake Dam,Lincoln_KY,KY,poor,high,2016-08-04,1953,37.4869444444444,-84.6775,Kentucky
Salt Lick Creek Frs 1,Menifee_KY,KY,unsatisfactory,high,2017-01-24,1976,37.992315999999995,-83.668228,Kentucky
Salt Lick Creek Frs No 5,Bath_KY,KY,poor,high,2017-01-24,1973,38.0247222222222,-83.6213888888889,Kentucky
Salt Lick Creek Mps No 3,Bath_KY,KY,poor,high,2016-04-22,1982,38.058307,-83.599052,Kentucky
Scenic Lake Dam,Henderson_KY,KY,poor,high,2018-02-20,1950,37.878101,-87.562286,Kentucky
Shadow Lake Dam,Campbell_KY,KY,poor,high,2017-05-18,1998,38.999646999999996,-84.432437,Kentucky
Spring Lake Dam,Hopkins_KY,KY,poor,high,2018-03-05,1940,37.324722222222206,-87.51388888888891,Kentucky
Tank Pond Dam,Boyle_KY,KY,poor,high,2018-04-24,1920,37.585493,-84.907854,Kentucky
Taylor Fork Lake Dam,Madison_KY,KY,poor,high,2017-11-16,1966,37.70367,-84.35703000000001,Kentucky
Walker Construction Dam,Menifee_KY,KY,poor,high,2016-11-15,1967,37.9378811,-83.654546,Kentucky
Wallitsch Dam,Spencer_KY,KY,poor,high,2017-10-18,1968,38.050277777777794,-85.44527777777779,Kentucky
West Fork Clarks River Frs No 22,Graves_KY,KY,poor,high,2017-12-06,1967,36.923605,-88.612765,Kentucky
West Fork Mayfield Creek Frs 12,Graves_KY,KY,poor,high,2017-02-09,1975,36.795976,-88.803786,Kentucky
West Fork Mayfield Creek Frs 16,Carlisle_KY,KY,poor,high,2017-02-09,1978,36.808055555555605,-88.8372222222222,Kentucky
Wiley Miller Dam,Perry_KY,KY,poor,high,2018-02-26,1972,37.355615,-83.29100799999999,Kentucky
Willisburg Lake Dam,Washington_KY,KY,poor,high,2017-11-08,1968,37.8269444444444,-85.16305555555559,Kentucky
Winona Reservoir Dam,Powell_KY,KY,poor,high,2018-04-18,1959,37.761944444444396,-83.8002777777778,Kentucky
Wood Creek Lake Dam,Laurel_KY,KY,poor,high,2017-01-25,1969,37.214283,-84.198335,Kentucky
Zachariah Lake Dam,Lee_KY,KY,poor,high,2016-11-29,1950,37.689203000000006,-83.709897,Kentucky
Bayou Bodcau,Bossier_LA,LA,poor,high,2015-05-13,1949,32.7019444444445,-93.51100000000001,Louisiana
Iatt Lake Dam,Grant_LA,LA,poor,high,2015-02-05,1956,31.552,-92.65799999999999,Louisiana
Longville Lake,Beauregard_LA,LA,poor,high,2015-06-10,1950,30.607,-93.2466666666667,Louisiana
Wallace Lake Dam,Caddo And Desoto_LA,LA,poor,high,2015-05-12,1946,32.319,-93.67,Louisiana
Christina,Aroostook_ME,ME,poor,high,2016-11-17,1967,46.69,-67.891666667,Maine
Emery Mills,York_ME,ME,poor,high,2016-12-20,1889,43.49354,-70.84728100000001,Maine
Howard Pond,Oxford_ME,ME,poor,high,2015-05-20,1800,44.506305,-70.714993,Maine
Lower West Bay Pond,Hancock_ME,ME,poor,high,2016-08-09,1920,44.488347,-68.046214,Maine
Mcdonough Brook,Oxford_ME,ME,poor,high,2015-06-03,1973,44.167955,-70.999115,Maine
Lake Bronson,Kittson_MN,MN,poor,high,2017-05-03,1937,48.723009999999995,-96.63414,Minnesota
Lanesboro,Fillmore_MN,MN,poor,high,2018-05-22,1868,43.71687,-91.97895,Minnesota
Pelican Rapids,Otter Tail_MN,MN,poor,high,2017-05-03,1870,46.56986,-96.08225,Minnesota
Abiaca Watershed Structure Y-34-03 Dam,Carroll_MS,MS,poor,high,2016-03-02,1965,33.3835904218,-90.08843437739999,Mississippi
Abiaca Watershed Structure Y-34-04 Dam,Carroll_MS,MS,poor,high,2016-03-02,1968,33.38359296,-90.07547006760001,Mississippi
Abiaca Watershed Structure Y-34-05 Dam,Carroll_MS,MS,poor,high,2016-03-01,1965,33.3859486564,-90.0462619349,Mississippi
Abiaca Watershed Structure Y-34-06 Dam,Carroll_MS,MS,poor,high,2016-03-01,1967,33.381621708400004,-90.02688759680001,Mississippi
Abiaca Watershed Structure Y-34-07 Dam,Carroll_MS,MS,poor,high,2016-03-01,1966,33.3583320962,-89.9976145108,Mississippi
Abiaca Watershed Structure Y-34-09 Dam,Carroll_MS,MS,unsatisfactory,high,2016-03-01,1965,33.3141195232,-89.9498414717,Mississippi
Abiaca Watershed Structure Y-34-10 Dam,Carroll_MS,MS,poor,high,2016-03-02,1967,33.3545485295,-90.05956876649999,Mississippi
Abiaca Watershed Structure Y-34-13 Dam,Carroll_MS,MS,unsatisfactory,high,2017-02-14,1965,33.4932196994,-90.0665399577,Mississippi
Abiaca Watershed Structure Y-34-25 Dam,Carroll_MS,MS,poor,high,2016-03-01,1971,33.3648196466,-90.0025707761,Mississippi
Abiaca Watershed Structure Y-34-29 Dam,Carroll_MS,MS,unsatisfactory,high,2015-06-09,1973,33.3286832076,-90.00168885149999,Mississippi
Abotlapoota Creek Ws Str Y-34-11 Dam,Carroll_MS,MS,poor,high,2016-03-02,1965,33.4482257014,-90.06263825629999,Mississippi
Abotlapoota Ws Str Y-34-15 Dam,Carroll_MS,MS,unsatisfactory,high,2015-06-17,1973,33.4458929717,-90.0652394966,Mississippi
Anchor Lake Dam,Pearl River_MS,MS,poor,high,2017-09-12,1965,30.6282540227,-89.5990067873,Mississippi
Ascalmore Structure Y-17A-01 Dam,Tallahatchie_MS,MS,poor,high,2016-01-15,1963,33.917742675599996,-89.99674172479999,Mississippi
Ascalmore Structure Y-17A-02 Dam,Tallahatchie_MS,MS,poor,high,2016-01-15,1959,33.909401046599996,-90.0447739734,Mississippi
Bahala Creek Ws Str 2 Dam,Lincoln_MS,MS,poor,high,2016-01-29,1976,31.6544837473,-90.3740381595,Mississippi
Beaver Lake Dam,Lamar_MS,MS,unsatisfactory,high,2016-04-21,1968,31.1381342669,-89.3505510909,Mississippi
Bentonia Watershed Structure 7 Dam,Yazoo_MS,MS,unsatisfactory,high,2008-03-07,1963,32.6281910621,-90.3995115466,Mississippi
Big Creek Watershed Structure 9 Dam,Jones_MS,MS,poor,high,2016-02-11,1975,31.733431974600002,-89.3276888066,Mississippi
Big Lake Dam,Calhoun_MS,MS,poor,high,2018-06-28,1955,33.7778876275,-89.29654453709999,Mississippi
Big Sand Watershed Structure Y-32-02 Dam,Carroll_MS,MS,unsatisfactory,high,2016-03-29,1965,33.5315404575,-89.88729732280001,Mississippi
Big Sand Watershed Structure Y-32-09A Dam,Carroll_MS,MS,unsatisfactory,high,2016-03-02,1966,33.4821310091,-89.84216375,Mississippi
Big Sand Watershed Structure Y-32-09B Dam,Carroll_MS,MS,poor,high,2016-03-02,1965,33.4848177538,-89.8570754542,Mississippi
Big Sand Watershed Structure Y-32-10 Dam,Carroll_MS,MS,poor,high,2016-03-29,1967,33.5438266706,-89.8306795731,Mississippi
Big Sand Watershed Structure Y-32-11 Dam,Carroll_MS,MS,unsatisfactory,high,2016-03-29,1966,33.5505522384,-89.8534214181,Mississippi
Big Sand Watershed Structure Y-32-17 Dam,Carroll_MS,MS,poor,high,2016-03-28,1966,33.5866677194,-90.0248043038,Mississippi
Bounds Lake Dam,Lauderdale_MS,MS,poor,high,2018-06-07,1950,32.3935751657,-88.7394631541,Mississippi
Brinkley Lake Dam,Tishomingo_MS,MS,poor,high,2017-11-30,1971,34.8266998286,-88.16487811969999,Mississippi
Buntyn Creek Ws Str Y-16A-2 Dam,Tallahatchie_MS,MS,poor,high,2016-03-15,1962,34.1092659317,-90.0687304754,Mississippi
Burnt Corn Ws Str 5 Dam,Madison_MS,MS,poor,high,2017-11-08,1963,32.5541986659,-90.1888703517,Mississippi
Camelot Lake Dam,Warren_MS,MS,unsatisfactory,high,2017-04-03,1969,32.237779511,-90.8336867665,Mississippi
Chiwapa Ws Str 29 Dam,Pontotoc_MS,MS,poor,high,2016-02-05,1969,34.2418360075,-88.8303141267,Mississippi
Chunky River Ws Number 8 Dam,Newton_MS,MS,poor,high,2015-11-09,1984,32.5424363199,-89.04288542309999,Mississippi
Chunky River Ws Str 47 Dam,Newton_MS,MS,unsatisfactory,high,2015-11-09,1976,32.5008670002,-89.14266041270001,Mississippi
Chuquatonchee Ws Str 07 Dam,Chickasaw_MS,MS,poor,high,2016-05-04,1973,33.9895728716,-88.9269432061,Mississippi
Cooks Lake Dam,Hinds_MS,MS,poor,high,2014-04-10,1952,32.3137903047,-90.2642006751,Mississippi
Cypress Creek Ws Str Y-19A-08 Dam,Yalobusha_MS,MS,unsatisfactory,high,2016-03-15,1961,34.0325498339,-89.7664672634,Mississippi
Dry Creek Watershed Structure 3 Dam,Covington_MS,MS,poor,high,2017-11-16,1969,31.7481546419,-89.730466839,Mississippi
East And West Goose Str R-9-1 Dam,Lafayette_MS,MS,poor,high,2018-01-25,1958,34.3542949288,-89.5537945101,Mississippi
East And West Goose Str R-9-2 Dam,Lafayette_MS,MS,unsatisfactory,high,2018-01-25,1958,34.3514400819,-89.5566649301,Mississippi
Eden Creek Ws Str Y-37D-10 Dam,Yazoo_MS,MS,poor,high,2018-02-20,1975,32.9663471895,-90.32870646059999,Mississippi
Faulkner Lake Dam,Lauderdale_MS,MS,poor,high,2017-06-21,1973,32.3384701301,-88.67381652620001,Mississippi
Flood Water Retarding Structure Site 35,Holmes_MS,MS,poor,high,2015-02-03,2010,33.1201587402,-89.98098656270001,Mississippi
Grays  Creek Ws Str G-6-2 Dam,Benton_MS,MS,poor,high,2016-04-07,1960,34.940247765100004,-89.31184923459999,Mississippi
Greasy Creek Ws Str Lt-1A-11 Dam,Lafayette_MS,MS,unsatisfactory,high,2016-04-06,1960,34.513044233,-89.70365132149999,Mississippi
Hell Creek Ws Str Lt-9B-2 Dam,Union_MS,MS,poor,high,2016-04-07,1969,34.5887181812,-89.0780867504,Mississippi
Holiday Creek Ws Str 3 Dam,Marion_MS,MS,poor,high,2016-03-18,1972,31.389672735500003,-89.8623038936,Mississippi
Holliday Creek Ws Str 4 Dam,Marion_MS,MS,poor,high,2016-03-18,1971,31.3871299937,-89.81046677180001,Mississippi
Hotophia Creek Ws Str Y-10A-52 Dam,Panola_MS,MS,poor,high,2016-03-16,1961,34.302657278699996,-89.7883453723,Mississippi
Hoy Lake Dam,Hinds_MS,MS,unsatisfactory,high,2017-04-03,1964,32.392650523600004,-90.1071706858,Mississippi
Indian Creek Ws Str Y-9A-07 Dam,Panola_MS,MS,unsatisfactory,high,2016-04-06,1959,34.5031659974,-90.17874281510001,Mississippi
Indian Creek Ws Str Y-9A-08 Dam,Panola_MS,MS,unsatisfactory,high,2016-04-06,1963,34.5088022446,-90.1726545619,Mississippi
Indian Creek Ws Str Y-9A-14 Dam,Panola_MS,MS,unsatisfactory,high,2016-04-06,1963,34.4582377353,-90.14389337940001,Mississippi
Lake Druid Dam,Lauderdale_MS,MS,unsatisfactory,high,2017-01-25,1958,32.3887802794,-88.73568399969999,Mississippi
Lake Hazle Dam,Copiah_MS,MS,poor,high,2017-08-30,1925,31.8677730097,-90.404066593,Mississippi
Lake Piomingo Dam,Lee_MS,MS,poor,high,2018-02-06,1967,34.322240439699996,-88.6329390175,Mississippi
Lakemont Lake Dam,Lauderdale_MS,MS,unsatisfactory,high,2017-04-28,1930,32.347120024,-88.69117234139999,Mississippi
Lakewood Lake Dam,Lauderdale_MS,MS,unsatisfactory,high,2016-02-17,1959,32.3877838803,-88.7403529901,Mississippi
Magnolia Lake Estates Dam,Lauderdale_MS,MS,poor,high,2017-02-16,2001,32.4742674742,-88.8734514811,Mississippi
Maywood Subdivision -  Shahkoka Dam,Desoto_MS,MS,unsatisfactory,high,2017-04-07,1948,34.9683333333333,-89.8502777777778,Mississippi
Maywood Subdivision - Woodland Lake Dam,Desoto_MS,MS,unsatisfactory,high,2017-04-07,1948,34.9691192454,-89.8426722934,Mississippi
Mimosa Lake Dam,Hinds_MS,MS,poor,high,2017-12-05,1957,32.2524985115,-90.3394265309,Mississippi
Mirror Lake Dam,Lauderdale_MS,MS,poor,high,2017-06-15,1962,32.3434239903,-88.68680614739999,Mississippi
Muddy Creek Watershed Structure 24A Dam,Tippah_MS,MS,poor,high,2015-12-10,1961,34.8188888888889,-88.91305555555559,Mississippi
Muddy Creek Ws Str 2 Dam,Tippah_MS,MS,unsatisfactory,high,2015-12-10,1968,34.8115482401,-88.9546765949,Mississippi
Murray Creek Ws Str Y-13A-1 Dam,Lafayette_MS,MS,poor,high,2016-03-16,1974,34.2594444738,-89.4814024727,Mississippi
Murray Creek Ws Str Y-13A-5 Dam,Lafayette_MS,MS,poor,high,2016-03-16,1974,34.2575,-89.4908333333333,Mississippi
Oaklimeter Creek Watershed Structure Lt-8-17 Dam,Benton_MS,MS,unsatisfactory,high,2015-05-28,1963,34.6382951507,-89.2307224916,Mississippi
Okonatie Ws Str Ut-25-1 Dam,Union_MS,MS,unsatisfactory,high,2016-05-04,1958,34.3977965399,-88.89773154209999,Mississippi
Otoucalofa Creek Y-15-1 Dam,Calhoun_MS,MS,unsatisfactory,high,2018-01-26,1994,34.1306330516,-89.38683299629999,Mississippi
Pelucia Watershed Structure Y-33A-14 Dam,Carroll_MS,MS,unsatisfactory,high,2015-05-14,1963,33.4901540451,-90.0186415517,Mississippi
Persimmon Creek Structure Y-21-09 Dam,Calhoun_MS,MS,poor,high,2016-05-05,1962,34.016400701799995,-89.33805549889999,Mississippi
Potacocawa Watershed Structure Y-31A-04 Dam,Carroll_MS,MS,poor,high,2016-03-28,1962,33.6443097919,-89.9655315511,Mississippi
Potacocawa Watershed Structure Y-31A-06 Dam,Carroll_MS,MS,poor,high,2016-03-28,1965,33.6335526385,-89.9434590476,Mississippi
Potacocawa Watershed Structure Y-31A-12 Dam,Carroll_MS,MS,poor,high,2016-03-28,1966,33.6157348678,-89.86343213190001,Mississippi
Prairie Waters Number 2 Dam,Lowndes_MS,MS,poor,high,2018-01-24,1997,33.470026022199995,-88.5437738251,Mississippi
R N Van Vulpen Pond Dam,Desoto_MS,MS,poor,high,2016-04-07,1955,34.9392956704,-90.0574222707,Mississippi
Rainbow Lakes # 1 Dam,Lauderdale_MS,MS,unsatisfactory,high,2017-02-15,1977,32.4115600747,-88.5914793886,Mississippi
Rainbow Lakes # 4 Dam,Lauderdale_MS,MS,unsatisfactory,high,2017-02-15,1977,32.4172709452,-88.5932088178,Mississippi
Rainbow Lakes # 5 Dam,Lauderdale_MS,MS,unsatisfactory,high,2017-02-15,1977,32.4181367947,-88.5911136242,Mississippi
Richland Creek Ws Str 2A Dam,Rankin_MS,MS,unsatisfactory,high,2016-01-28,1986,32.2583690175,-89.93789818299999,Mississippi
Richland Creek Ws Str 3 Dam,Rankin_MS,MS,poor,high,2016-01-28,1983,32.2479048397,-89.93803973850001,Mississippi
Robin Hood Lake Number 4 Dam,Rankin_MS,MS,poor,high,2015-02-11,1964,32.2012358896,-89.9617520143,Mississippi
Second Creek Ws Str No. 10B Dam,Adams_MS,MS,unsatisfactory,high,2016-01-12,1965,31.412723700700003,-91.3352554903,Mississippi
Simpson Lake Dam,Tate_MS,MS,unsatisfactory,high,2015-09-30,1994,34.664272240900004,-89.83888460879999,Mississippi
South Lake Dam,Lowndes_MS,MS,unsatisfactory,high,2015-10-06,1955,33.5438429769,-88.41240218850001,Mississippi
Sowashee Creek Ws Str 11 Dam,Lauderdale_MS,MS,poor,high,2016-02-04,1978,32.4157681932,-88.63497868430001,Mississippi
Spring Lake Dam,Hinds_MS,MS,poor,high,2016-12-31,1974,32.3622187347,-90.32714885719999,Mississippi
Tippah River Ws Str Lt-7-05 Dam,Benton_MS,MS,poor,high,2016-04-07,1965,34.779376743,-89.1747022366,Mississippi
Tippah River Ws Str Lt-7-07 Dam,Benton_MS,MS,poor,high,2016-04-07,1966,34.708611111111104,-89.0941666666667,Mississippi
Town Creek Ws Str 16 Dam,Lee_MS,MS,poor,high,2016-05-05,1972,34.4653159658,-88.75767537610001,Mississippi
Town Creek Ws Str 19 Dam,Union_MS,MS,poor,high,2016-05-05,1973,34.4559753201,-88.8362583752,Mississippi
Trace State Park Dam,Pontotoc_MS,MS,unsatisfactory,high,2017-04-07,1974,34.2423593152,-88.8958189651,Mississippi
Tuscumbia Ws Str 39 Dam,Prentiss_MS,MS,poor,high,2016-05-05,1973,34.7459813463,-88.5924396272,Mississippi
Tuscumbia Ws Str Number 34 Dam,Prentiss_MS,MS,poor,high,2016-05-05,1989,34.6949040127,-88.50049924059999,Mississippi
Tuscumbia Ws Str Number 36 Dam,Prentiss_MS,MS,poor,high,2016-05-05,1988,34.6945401131,-88.5916357575,Mississippi
Tuscumbia Ws Str Number 8 Dam,Alcorn_MS,MS,poor,high,2016-05-05,1975,34.8628966163,-88.48601035709999,Mississippi
Upper Tippah Watershed Structure Lt-6-17 Dam,Tippah_MS,MS,unsatisfactory,high,2017-11-28,1962,34.786137162399996,-89.04651799530001,Mississippi
Upper Yocona Watershed Structure Y-14-01 Dam,Lafayette_MS,MS,unsatisfactory,high,2018-01-25,1965,34.341556766,-89.2910430026,Mississippi
Wanita Mann Pond Dam,Desoto_MS,MS,poor,high,2017-09-14,1959,34.948494205,-90.09017486350001,Mississippi
West Lake Dam,Lamar_MS,MS,poor,high,2017-07-01,1968,31.308721138699998,-89.36649534799999,Mississippi
Basin Creek Dam #2,Silver Bow_MT,MT,poor,high,2014-07-09,1907,45.8393,-112.5261,Montana
Blixit Creek,Missoula_MT,MT,poor,high,2017-06-12,1961,46.8568619990586,-113.638414905574,Montana
Eureka Reservoir Dam,Teton_MT,MT,poor,high,2018-04-18,1936,47.8784,-112.3178,Montana
Fred Burr Reservoir Dam,Ravalli_MT,MT,poor,high,2017-05-23,1946,46.3576,-114.3164,Montana
Kootenai Dvlpmnt Impoundment Dam,Lincoln_MT,MT,poor,high,2017-10-25,1980,48.4423597826716,-115.42585320959999,Montana
Lower Willow Creek Dam,Granite_MT,MT,poor,high,2016-09-12,1962,46.5592,-113.314,Montana
Powell,Powell_MT,MT,poor,high,2014-07-01,1981,46.3544,-112.8494,Montana
Willow Creek Dam,Madison_MT,MT,poor,high,2017-03-30,1938,45.7138,-111.6997,Montana
Wilson (Judith Basin),Judith Basin_MT,MT,poor,high,2016-05-24,1952,47.155151000000004,-110.359342,Montana
Albemarle Dam,Cleveland_NC,NC,poor,high,2018-01-04,1951,35.2119,-81.3555,North Carolina
Arboretum Townhouse Dam,Forsyth_NC,NC,poor,high,2017-09-06,2001,36.1264,-80.0577,North Carolina
Arran Lakes Dam,Cumberland_NC,NC,poor,high,2017-11-02,1958,35.029,-78.98100000000001,North Carolina
Ashe Lake Dam,Ashe_NC,NC,poor,high,2018-01-24,1955,36.344,-81.444,North Carolina
Bennetts Bridge Upper North,Duplin_NC,NC,poor,high,2018-03-13,0,35.0772,-77.9072,North Carolina
Bennetts Bridge Upper South,Duplin_NC,NC,poor,high,2015-10-07,0,35.0764,-77.9085,North Carolina
Blanchard Lake Dam #1,Harnett_NC,NC,poor,high,2018-04-11,1943,35.325,-79.06028,North Carolina
Blanchard Lake Dam #2,Harnett_NC,NC,poor,high,2018-04-11,1953,35.32333,-79.06028,North Carolina
Blanchard Lake Dam #3,Harnett_NC,NC,poor,high,2018-04-11,1953,35.32306,-79.05889,North Carolina
Blowing Rock Cntry Club Dam,Watauga_NC,NC,unsatisfactory,high,2018-01-11,1990,36.12611,-81.66667,North Carolina
Boy Scouts Of America Dam Upper,Moore_NC,NC,poor,high,2018-02-28,1970,35.33636,-79.55949,North Carolina
Brown Lake Dam,Johnston_NC,NC,unsatisfactory,high,2017-11-27,1955,35.594,-78.237,North Carolina
Cambro Lake Dam,Harnett_NC,NC,poor,high,2018-04-11,1945,35.294000000000004,-78.904,North Carolina
Charles Harris Dam,Ashe_NC,NC,unsatisfactory,high,2018-01-24,1950,36.3882,-81.2471,North Carolina
Clouse Lake Dam,Yancey_NC,NC,poor,high,2018-03-20,1978,35.92432,-82.24899,North Carolina
Ed Wilkins Dam,Rockingham_NC,NC,poor,high,2017-02-02,1987,36.32611,-79.69389,North Carolina
Fishers Lake Dam,Haywood_NC,NC,poor,high,2015-02-04,1920,35.5106,-82.8167,North Carolina
Flint Ridge Dam,Orange_NC,NC,poor,high,2016-08-10,1990,36.054,-79.105,North Carolina
Gables Drive Dam,Cumberland_NC,NC,unsatisfactory,high,2017-11-16,0,35.1101,-78.8896,North Carolina
Green Hill Lake Dam,Surry_NC,NC,poor,high,2018-01-25,1955,36.552,-80.632,North Carolina
Hamilton Lake Dam,Harnett_NC,NC,poor,high,2018-04-11,0,35.5489,-78.8151,North Carolina
Hanging Rock State Park Dam,Stokes_NC,NC,poor,high,2018-01-25,1938,36.391999999999996,-80.26899999999999,North Carolina
Hannas Lake Dam,Harnett_NC,NC,poor,high,2017-02-17,1950,35.316,-78.5978,North Carolina
Henry River Dam,Burke_NC,NC,unsatisfactory,high,2017-04-27,1902,35.69393,-81.42684,North Carolina
Hillcrest Towne Center Pond B Dam,Forsyth_NC,NC,unsatisfactory,high,2017-08-15,2008,36.0553,-80.324,North Carolina
Hillcrest Towne Center Pond E Dam,Forsyth_NC,NC,unsatisfactory,high,2017-08-15,2009,36.0557,-80.3274,North Carolina
Holden Dam,Caldwell_NC,NC,poor,high,2018-01-30,0,35.9195,-81.6462,North Carolina
Johns Lake Dam,Scotland_NC,NC,poor,high,2018-01-25,1840,34.687,-79.433,North Carolina
Joyner Lake Dam,Forsyth_NC,NC,poor,high,2017-10-26,1923,36.125,-80.11083,North Carolina
Kaymoore Dam,Forsyth_NC,NC,unsatisfactory,high,2017-10-24,0,36.0126,-80.2776,North Carolina
Kernersville Water Supply Dam,Forsyth_NC,NC,poor,high,2017-11-09,1952,36.15448,-80.10058000000001,North Carolina
Lake Charles Dam,Cumberland_NC,NC,poor,high,2017-11-02,1964,34.965,-78.97800000000001,North Carolina
Lake Evens Dam,Buncombe_NC,NC,poor,high,2017-04-27,1962,35.5367,-82.3297,North Carolina
Lake Glenwood Dam,Pitt_NC,NC,poor,high,2018-02-02,1966,35.576,-77.314,North Carolina
Lake Hyco Dam,Person_NC,NC,poor,high,2017-09-07,1963,36.5082,-79.0421,North Carolina
Lasater Mill Pond Dam,Forsyth_NC,NC,poor,high,2017-08-31,1929,36.025999999999996,-80.42,North Carolina
Lewis Lake Dam,Cumberland_NC,NC,unsatisfactory,high,2018-02-20,1974,35.21889,-78.89056,North Carolina
Loch Lommond,Cumberland_NC,NC,unsatisfactory,high,2018-03-07,0,35.07,-78.998,North Carolina
Lott Dam,Swain_NC,NC,poor,high,2016-04-26,1980,35.30584,-83.60356,North Carolina
Mallard Lake Dam Lower,Forsyth_NC,NC,unsatisfactory,high,2017-10-19,1967,36.18439,-80.32682,North Carolina
Mallard Lake Dam Upper,Forsyth_NC,NC,unsatisfactory,high,2017-10-19,1967,36.188,-80.322,North Carolina
Mallard Lake Dam Upper West,Forsyth_NC,NC,poor,high,2017-10-19,1967,36.1879,-80.32554,North Carolina
Miller Dam,Wilkes_NC,NC,unsatisfactory,high,2018-01-30,1979,36.183609999999994,-80.90889,North Carolina
Mirror Lake Dam,Cumberland_NC,NC,unsatisfactory,high,2018-03-07,1959,35.05444,-78.92222,North Carolina
Moss Lake Dam,Cleveland_NC,NC,poor,high,2018-05-10,1973,35.275999999999996,-81.457,North Carolina
Mt.Vernon Estates,Cumberland_NC,NC,poor,high,2017-11-02,1989,34.853,-78.876,North Carolina
Old Stony Creek Dam,Alamance_NC,NC,poor,high,2017-11-16,1928,36.1281,-79.4061,North Carolina
Owens Dam,Guilford_NC,NC,poor,high,2017-11-21,1954,35.983000000000004,-79.961,North Carolina
Pied Piper Dam Lower,Cherokee_NC,NC,poor,high,2017-07-17,1975,35.028890000000004,-84.19806,North Carolina
Pied Piper Dam Upper,Cherokee_NC,NC,poor,high,2017-03-22,1973,35.03001,-84.19614,North Carolina
Pinehurst National-Dam #1,Moore_NC,NC,poor,high,2018-01-10,1989,35.18861,-79.44360999999999,North Carolina
Porter Dam,Buncombe_NC,NC,poor,high,2017-05-02,2007,35.74667,-82.62873,North Carolina
Rhodes Lake Dam,Cumberland_NC,NC,unsatisfactory,high,2017-11-16,1770,35.2258,-78.6528,North Carolina
Scott-Harris Dam,Surry_NC,NC,poor,high,2018-01-16,1991,36.33778,-80.65639,North Carolina
Senecal Dam,Cherokee_NC,NC,poor,high,2018-02-27,2011,35.08765,-84.25823000000001,North Carolina
Simpson Lake Dam,Moore_NC,NC,unsatisfactory,high,2017-12-07,1953,35.191,-79.143,North Carolina
Skomp Dam,Cherokee_NC,NC,poor,high,2018-01-11,1970,35.013020000000004,-84.08935,North Carolina
Straus Pond Dam,Buncombe_NC,NC,poor,high,2015-04-16,1953,35.56306,-82.36,North Carolina
Sunnyside Lake Dam,Rutherford_NC,NC,poor,high,2018-03-28,1950,35.313,-81.927,North Carolina
Tallywood Dam,Cumberland_NC,NC,poor,high,2018-03-07,0,35.051,-78.931,North Carolina
The Lakes Dam,Cumberland_NC,NC,poor,high,2018-03-07,1980,35.074,-78.98,North Carolina
Tull Millpond Dam,Lenoir_NC,NC,unsatisfactory,high,2018-03-21,1875,35.155,-77.734,North Carolina
Upper Tanglewood Dam,Cherokee_NC,NC,poor,high,2018-02-01,1974,35.11861,-84.02528000000001,North Carolina
W. S. Jones Lake,Macon_NC,NC,poor,high,2015-03-06,1963,35.2174,-83.2548,North Carolina
Walden Two Dam,Mecklenburg_NC,NC,poor,high,2018-06-06,0,35.2153,-80.6607,North Carolina
Wall Lake Dam,Richmond_NC,NC,poor,high,2017-12-21,1913,34.8705,-79.8272,North Carolina
Weatherspoon 1979 Ash Pond,Robeson_NC,NC,poor,high,2017-03-30,1949,34.5913,-78.9693,North Carolina
White Lake Dam,Harnett_NC,NC,poor,high,2018-04-11,1975,35.41,-78.832,North Carolina
Williams Millpond Dam,Wayne_NC,NC,unsatisfactory,high,2017-04-26,1938,35.187,-77.984,North Carolina
Willow Lake Estates,Rutherford_NC,NC,poor,high,2018-03-05,0,35.347590000000004,-82.01026999999999,North Carolina
Winston Lake Dam,Forsyth_NC,NC,poor,high,2017-10-31,1919,36.113,-80.20100000000001,North Carolina
Woodlake Dam,Moore_NC,NC,unsatisfactory,high,2016-05-27,1973,35.218,-79.19,North Carolina
Yanceyville Water Supply Dam,Caswell_NC,NC,poor,high,2017-01-31,1952,36.391999999999996,-79.35,North Carolina
Beach Dam,Golden Valley_ND,ND,poor,high,2018-05-24,1957,46.913909999999994,-104.01548000000001,North Dakota
Clausen Springs Dam,Barnes_ND,ND,poor,high,2018-05-23,1967,46.68322,-98.03687,North Dakota
Jackman Coulee Dam 2,Burleigh_ND,ND,poor,high,2018-06-07,2003,46.820859999999996,-100.8034,North Dakota
Maple River Dam (T-180),Cass_ND,ND,poor,high,2018-05-22,1985,46.67137,-97.44321,North Dakota
Matejcek Dam,Walsh_ND,ND,poor,high,2016-07-07,1966,48.22566,-97.92771,North Dakota
Mcgregor Dam,Williams_ND,ND,unsatisfactory,high,2018-05-09,1967,48.588,-102.932,North Dakota
Mott Watershed Dam,Hettinger_ND,ND,poor,high,2016-08-23,1969,46.38024,-102.3259,North Dakota
Olson Dam,Pembina_ND,ND,poor,high,2016-07-11,1957,48.73043,-97.94663,North Dakota
Queen City Dam,Stark_ND,ND,poor,high,2018-05-24,1900,46.87409,-102.82419,North Dakota
